City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
316,Tevriz,RU,57.509,72.4042,4.42,97,100,3.15,overcast clouds
317,Toucheng,TW,24.8592,121.8233,61.45,92,100,5.86,overcast clouds
318,Marshalltown,US,42.0494,-92.908,35.1,87,12,9.1,few clouds
319,Ulagan,RU,50.6321,87.9563,-7.38,83,24,3.53,few clouds
320,Manado,ID,1.487,124.8455,77.77,94,40,2.3,scattered clouds
321,Ugoofaaru,MV,5.6667,73.0,81.55,65,95,11.36,overcast clouds
322,Nioro,GM,13.35,-15.75,101.98,6,1,5.64,clear sky
323,Sarankhola,BD,22.3082,89.7897,59.99,61,58,3.15,broken clouds
324,Loikaw,MM,19.6742,97.2094,57.6,60,79,3.67,broken clouds
325,Yong Peng,MY,2.0136,103.0659,74.66,94,100,2.21,heavy intensity rain
326,Capitao Poco,BR,-1.7464,-47.0594,82.71,81,96,5.93,light rain
327,Longyearbyen,SJ,78.2186,15.6401,19.24,63,40,13.8,scattered clouds
328,Orthez,FR,43.4884,-0.7724,51.28,85,83,5.84,broken clouds
329,Hami,CN,42.8,93.45,27.52,29,73,15.82,broken clouds
330,Khandyga,RU,62.6667,135.6,-38.76,99,98,1.97,overcast clouds
331,Mayo,US,38.8876,-76.5119,34.29,43,0,11.01,clear sky
332,Buala,SB,-8.145,159.5921,80.4,84,97,8.72,light rain
333,Clyde River,CA,70.4692,-68.5914,-36.17,67,0,5.75,haze
334,Yulara,AU,-25.2406,130.9889,71.44,40,0,5.75,clear sky
335,Haines Junction,CA,60.7522,-137.5108,33.75,75,83,12.66,broken clouds
336,Bahar,IR,34.9072,48.4414,32.16,69,20,4.61,few clouds
337,Severo-Kurilsk,RU,50.6789,156.125,30.33,83,100,14.74,overcast clouds
338,Itanhem,BR,-17.1664,-40.33,84.16,66,58,7.54,broken clouds
339,Lohja,FI,60.2486,24.0653,35.19,100,100,7.49,overcast clouds
340,Deputatskiy,RU,69.3,139.9,-33.66,99,81,4.45,broken clouds
341,Lorengau,PG,-2.0226,147.2712,81.52,79,97,6.11,overcast clouds
342,Mezen,RU,65.8522,44.24,15.62,93,100,11.63,overcast clouds
343,Lithakia,GR,37.7167,20.8333,56.59,86,67,7.7,broken clouds
344,Petatlan,MX,17.5167,-101.2667,86.61,35,2,5.14,clear sky
345,Trapani,IT,37.8333,12.6667,55.58,88,40,10.36,scattered clouds
346,Horta,PT,38.5333,-28.6333,64.04,77,40,13.8,scattered clouds
347,Prince Rupert,CA,54.3161,-130.3201,46.49,76,100,20.71,overcast clouds
