City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,Lebu,-37.6167,-73.65,61.52,81,82,11.95,CL,2022-01-30 15:20:50
171,Handan,36.6006,114.4678,38.41,36,17,6.71,CN,2022-01-30 15:20:51
172,Naze,28.3667,129.4833,54.09,73,93,19.26,JP,2022-01-30 15:20:51
173,Mezen,65.8522,44.24,11.71,93,100,8.86,RU,2022-01-30 15:20:52
174,Predivinsk,57.0669,93.4378,-6.21,99,56,1.68,RU,2022-01-30 15:20:52
175,La Ronge,55.1001,-105.2842,14.25,85,100,8.05,CA,2022-01-30 15:20:53
176,Kabinda,-6.1333,24.4833,76.98,76,90,6.24,CD,2022-01-30 15:20:53
177,Tomatlan,19.9333,-105.25,71.37,52,0,2.08,MX,2022-01-30 15:20:54
178,Fortuna,40.5982,-124.1573,44.65,95,100,0.0,US,2022-01-30 15:20:54
179,Bayji,34.9311,43.487,52.02,52,3,6.64,IQ,2022-01-30 15:20:54
180,Sidi Ali,36.0998,0.4206,60.44,34,0,6.64,DZ,2022-01-30 15:20:55
181,Turukhansk,65.8167,87.9833,1.44,96,100,8.84,RU,2022-01-30 15:20:55
182,Carnarvon,-24.8667,113.6333,78.87,78,40,18.41,AU,2022-01-30 15:21:01
183,Haukipudas,65.1765,25.3523,17.65,89,100,10.2,FI,2022-01-30 15:21:01
184,Sur,22.5667,59.5289,73.9,64,2,6.76,OM,2022-01-30 15:21:02
185,Wilmington,34.2257,-77.9447,39.85,30,0,0.0,US,2022-01-30 15:20:24
186,Solnechnyy,50.7214,136.6319,-10.53,99,97,2.57,RU,2022-01-30 15:21:02
187,Sitka,57.0531,-135.33,33.69,86,100,9.22,US,2022-01-30 15:21:03
188,Olafsvik,64.8945,-23.7142,28.08,66,100,38.92,IS,2022-01-30 15:21:03
189,Gumdag,39.2061,54.5906,46.02,54,7,10.98,TM,2022-01-30 15:21:04
190,Beloha,-25.1667,45.05,80.35,55,76,17.09,MG,2022-01-30 15:21:05
191,Miandrivazo,-19.5167,45.4667,90.21,51,19,15.23,MG,2022-01-30 15:21:05
192,San Policarpo,12.1791,125.5072,79.92,81,30,2.95,PH,2022-01-30 15:21:05
193,Matara,5.9485,80.5353,78.1,87,18,7.38,LK,2022-01-30 15:16:17
194,Surt,31.2089,16.5887,57.42,50,85,16.71,LY,2022-01-30 15:21:06
195,Bambous Virieux,-20.3428,57.7575,82.65,74,40,13.8,MU,2022-01-30 15:21:07
196,Chegutu,-18.1302,30.1407,68.61,87,100,4.47,ZW,2022-01-30 15:21:07
197,Vanimo,-2.6741,141.3028,78.48,85,98,11.52,PG,2022-01-30 15:21:08
198,Coquimbo,-29.9533,-71.3436,67.73,68,0,12.66,CL,2022-01-30 15:21:08
199,Anloga,5.7947,0.8973,84.65,44,85,12.62,GH,2022-01-30 15:21:09
200,Ahome,25.9167,-109.1833,55.35,69,16,3.85,MX,2022-01-30 15:21:09
201,Araouane,18.9048,-3.5265,88.38,9,17,17.56,ML,2022-01-30 15:21:10
202,Severo-Kurilsk,50.6789,156.125,26.28,92,100,16.22,RU,2022-01-30 15:21:10
203,Vostok,46.4856,135.8833,-20.07,99,73,3.89,RU,2022-01-30 15:21:11
204,Hay River,60.8156,-115.7999,-5.82,77,100,6.91,CA,2022-01-30 15:21:12
205,Sakakah,29.9697,40.2064,60.37,34,32,9.55,SA,2022-01-30 15:21:12
206,Mogadishu,2.0371,45.3438,79.11,74,28,21.18,SO,2022-01-30 15:21:13
207,Tuatapere,-46.1333,167.6833,59.83,94,71,1.79,NZ,2022-01-30 15:21:13
208,Haga,52.0767,4.2986,45.99,69,75,1.99,NL,2022-01-30 15:21:13
209,Larap,14.299,122.6504,75.87,92,12,9.1,PH,2022-01-30 15:21:14
210,Praia,14.9215,-23.5087,70.34,68,100,23.02,CV,2022-01-30 15:21:14
211,Santa Fe,-31.6333,-60.7,88.92,36,0,3.0,AR,2022-01-30 15:21:15
212,Henties Bay,-22.116,14.2845,68.86,75,99,11.54,NA,2022-01-30 15:21:15
213,Pevek,69.7008,170.3133,-12.37,95,100,0.85,RU,2022-01-30 15:21:16
214,Ilulissat,69.2167,-51.1,8.62,61,75,17.27,GL,2022-01-30 15:21:16
